Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Supplier Part Number~String~Supplier Part Number~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Power Distribution Unit 2019.PrjPCB|ReportField=ProjectFullPath~C:\Users\TannerOleksiuk\Documents\GitHub\PDU2019\Power Distribution Unit 2019.PrjPCB|ReportField=Title~Bill of Materials For Project [Power Distribution Unit 2019.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~7:36:48 PM|ReportField=ReportDate~2018-12-13|ReportField=ReportDateTime~2018-12-13 7:36:48 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~135|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~4c07dc9120d4e360e9774227c20a66b3ea7ffc78|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2018-12-13|ReportField=CurrentTime~6:51:35 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\TannerOleksiuk\Documents\GitHub\PDU2019\Candunio.SchDoc|ReportField=DocumentName~Candunio.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2018-12-11|ReportField=Organization~|ReportField=ProjectName~Power Distribution Unit 2019.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Power Distribution Unit 2019.PrjPCB|ReportField=DataSourceFullPath~C:\Users\TannerOleksiuk\Documents\GitHub\PDU2019\Power Distribution Unit 2019.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
20|MX150-20|Header, 10-Pin, Dual row|P4, P6|MX150 20 PIN|Header 10X2|2|
21|43160-3102|4pin blade header molex|P5|431603102|0431600104|1|
22|2A|Fuse|Pi|FUSC4632X85N|Fuse 2|1|507-1881-2-ND
23|MOSFET-N|N-Channel MOSFET|Q1, Q2, Q5, Q6, Q7, Q11, Q12|SOT23-3|MOSFET-N|7|
24|MOSFET-P|P-Channel MOSFET|Q3, Q4, Q8, Q9, Q10|SOT23-3|MOSFET-P|5|
25|MOSFET-P|P-Channel MOSFET|Q13|TO-220AB|MOSFET-P|1|
26|10K|Resistor|R1, R9|RESC3216X60N|Res1|2|RNCP1206FTD10K0CT-ND
27|1K|Resistor|R2, R3, R4, R7, R10, R11, R12, R15, R16, R24, R25, R26|RESC3216X60N|Res1|12|RMCF1206FT1K00CT-ND, RNCP1206FTD1K00CT-ND
28|499|Resistor|R5|RESC3216X60N|Res1|1|RMCF1206FT499RCT-ND
29|16.9K|Resistor|R6|RESC3216X60N|Res1|1|RMCF1206FT16K9CT-ND
30|120|Resistor|R8|RESC3216X60N|Res1|1|
31|1206|Resistor|R13, R14, R18, R20, R21, R22, R23, R28, R30, R32, R35, R36, R37|RESC3216X60N|Res1|13|
32|511|Resistor|R17, R19, R27, R29, R31, R38, R39|RESC3216X60N|Res1|7|
33|1.4K|Resistor|R33, R34|RESC3216X60N|Res1|2|541-1.40KFCT-ND
34|SW-PB|Switch|S1|SMDswitch_1206|SW-PB|1|CKN10779CT-ND
35|ATmega328P-AU|8-bit AVR Microcontroller, 32KB Flash, 1KB EEPROM, 2KB SRAM, 32-pin TQFP, Industrial Grade (-40°C to 85°C)|U1|QFP80P900X900X120-32N|ATmega328P-AU|1|ATMEGA328P-AU-ND
36|LM1085IT-5.0/NOPB|3A Low Dropout Positive Regulators, 3-pin TO-220, Pb-Free|U2, U6|T03B|LM1085IT-5.0/NOPB|2|
37|MCP2551-E/SN|SOIC|U3|SOIC127P600X175-8N|MCP2551-E/SN|1|MCP2551T-E/SNCT-ND
38|FT232RL-Reel|USB UART Asynchronous Serial Data Transfer Chip, SSOP-28, Tape and Reel|U4|SOP65P780X200-28N|FT232RL-Reel|1|768-1007-1-ND
39|MCP2515-E/ST|SOIC|U5|SOIC127P1030X265-18N|MCP2515-E/ST|1|MCP2515T-I/SOCT-ND
40|CSTCE16M0V53-R0||Y1, Y2|CSTCE_G|CSTCE16M0V53-R0|2|490-17948-1-ND
